Station Name,IBNR
Blumberg-Riedöschingen,08001029
Blumberg-Zollhaus,08006669
Blumberg-Zollhaus,08070581
Blumenau,08011212
Blumenberg,08010056
Blumenhagen,08011213
Blumenkamp,08001030
Blumenthal(Mark),08011214
Bobenheim,08001032
Bobingen,08001033
Böbingen(Rems),08005979
Bobitz,08011215
Böblingen,08001055
Böblingen Danziger Str,08085005
Böblingen Heusteigstr,08085007
Böblingen Südbf,08085006
Böblingen Zimmerschlag,08085008
Böbrach,08070667
Bobstadt,08001034
Bobzin,08011216
Bocholt,08000040
Bochum Hbf,08000041
Bochum West,08006711
Bochum-Dahlhausen,08001038
Bochum-Ehrenfeld,08001039
Bochum-Hamme,08006710
Bochum-Langendreer,08000358
Bochum-Langendreer West,08004474
Bochum-Riemke,08001035
Bockenem,08001041
Bockenheim-Kindenheim,08001043
Böckingen Sonnenbrunnen,08070159
Böckingen West,08070158
Bockum-Hövel,08001045
Bodelsberg,08001046
Bodelshausen,08001047
Bodenburg,08001048
Bodenfelde,08001050
Bodenheim,08000359
Bodenheim Wormser Straße,08070868
Bodenmais,08001051
Bodenrode,08011219
Bodenwöhr Nord,08001054
Bödigheim,08001056
Bogen,08001069
Böhlen Werke,08011222
Böhlen(Leipzig),08013471
Böhl-Iggelheim,08001057
Böhmhof,08001058
Bohmte,08001071
Bohmte Ost,08070334
Böhringen-Rickelshausen,08001059
Boisheim,08001072
Boizenburg(Elbe),08011230
Bokholt,08007067
Boltenhagen,08081535
Boltersen,08070645
Bölzke,08011225
Bomsdorf,08011232
Bondorf(b Herrenberg),08001080
Bönen,08001061
Bonn Hbf,08000044
Bonn Helmholtzstraße,08001081
Bonn KD,08075941
Bonn-Bad Godesb. KD,08075942
Bonn-Bad Godesberg,08001082
Bonn-Beuel,08001083
Bonn-Duisdorf,08001084
Bönningstedt,08007047
Bonn-Mehlem,08001085
Bonn-Oberkassel,08001086
Bookholzberg,08001089
Booßen,08010058
Boostedt,08007061
Bopfingen,08001090
Boppard Hbf,08000045
Boppard KD,08075957
Boppard Süd,08000324
Boppard-Bad Salzig,08000742
Boppard-Buchholz,08001235
Boppard-Fleckertshöhe,08002004
Boppard-Hirzenach,08002861
Bordesholm,08001092
Borgeln,08001093
Borgholzhausen,08001095
Borgsdorf,08080200
Bork(Westf),08001097
Borken(Hess),08001098
Borken(Westf),08000346
Borkheide,08011238
Borkum Reede,08079115
Borkum(Nordseebad),08007764
"Born(Darß), Waldschänke",08081534
Borna(Leipzig),08011242
Börnecke(Harz),08011226
Bornholte(b Verl),08070447
