IBNR,Station Name
8000760,Bad Vilbel
8000760,Vilbel Bad
8000761,Bad Vilbel Süd
8000761,Vilbel Süd Bad
8000763,Bad Waldsee
8000763,Waldsee Bad
8000764,Bad Wildungen
8000764,Wildungen Bad
8000765,Bad Wimpfen
8000765,Wimpfen Bad
8000766,Bad Wimpfen-Hohenstadt
8000766,Wimpfen-Hohenst. Bad
8000767,Bad Windsheim
8000767,Windsheim Bad
8000768,Bad Wörishofen
8000768,Wörishofen Bad
8000769,Bad Wurzach
8000770,Bad Zwischenahn
8000770,Zwischenahn Bad
8000771,Baden-Baden Haueneberstein
8000772,Baddeckenstedt
8000773,Baden(Verden)
8000774,Baden-Baden
8000774,BAD
8000774,Baden Baden Bahnhof
8000775,Baden-Baden Rebland
8000777,Bad Rappenau Kurpark
8000778,Bäumenheim
8000779,Hamburg-Allermöhe
8000780,Hamburg-Bahrenfeld
8000781,Baierbrunn
8000782,Baiersbronn Bf
8000783,Baiersdorf
8000784,Balbersdorf
8000785,Baldham
8000785,Vaterstetten-Baldham
8000786,Balduinstein
8000787,Balgheim
8000788,Balingen Süd
8000789,Baiersbronn Schule
8000792,Baltersweiler
8000793,Balve
8000794,Bammental
8000796,Banteln
8000797,Bantorf
8000797,Barsinghausen-Bantor
8000800,Norden
8000800,NOR
8000801,Bardowick
8000802,Barbelroth
8000804,Bargteheide
8000805,Hamburg-Barmbek
8000807,Barnstorf(Han)
8000808,Barnten
8000808,Nordstemmen-Barnten
8000810,Barrien
8000812,Barsinghausen
8000815,Hemmoor
8000815,Osten-Hemmoor
8000818,Ochsenfurt
8000818,OCH
8000819,Battenberg Bf
8000821,Batzenhäusle
8000821,Waldkirch Batzenhäusle
8000822,Batzhausen
8000823,Bauerbach
8000823,Bretten-Bauerbach
8000826,Baunach
8000827,Bavendorf
8000827,Thomasburg-Bavendorf
8000828,Bayerbach
8000830,Bayerisch Eisenstein
8000830,Zelezna Ruda-Alzb.
8000831,Bayerisch Gmain
8000831,Bayrisch Gmain
8000832,Leverkusen Chempark
8000832,Leverkusen Bayerwerk
8000833,Bayreuth-St Georgen
8000834,Bayrischzell
8000834,Bayerischzell
8000840,Beckingen(Saar)
8000842,Bedburg-Hau
8000846,Beelen
8000850,Behringersdorf
8000850,Schwaig-Behringersd.
8000851,Beienheim
8000851,Reichelsheim(Wet)Bei
