8000643;Au im Murgtal;;;;;
8000644;Moers;MO;;;;
8000647;Aue-Wingeshausen;Bad Berleburg-Aue-Wi;;;;
8000649;Auerbach(b Mosbach, Baden);Elztal-Auerbach;;;;
8000652;Kirchheimbolanden;KIB;;;;
8000653;Aufhausen(b Erding);;;;;
8000655;Aufhausen(Württ);;;;;
8000657;Auggen;;;;;
8000658;Augsburg Haunstetterstraße;;;;;
8000659;Augsburg Messe;;;;;
8000660;Augsburg Morellstr.;;;;;
8000661;Augsburg-Hochzoll;;;;;
8000662;Augsburg-Oberhausen;;;;;
8000663;Monsheim;;;;;
8000664;Augustfehn;Apen-Augustfehn;;;;
8000665;Battenberg-Auhammer;;;;;
8000667;Montabaur;MT;;;;
8000668;Aumenau;Villmar-Aumenau;;;;
8000669;Aumühle;;;;;
8000671;Auringen-Medenbach;Wiesbaden-Auringen-M;;;;
8000672;Außenried;;;;;
8000674;Auw an der Kyll;;;;;
8000675;Aying;;;;;
8000677;Hückelhoven-Baal;Baal(Hückelhoven);;;;
8000678;Baar-Ebenhausen;;;;;
8000681;Babstadt;Bad Rappenau-Babstad;;;;
8000683;Bacharach;;;;;
8000685;Bachern;;;;;
8000686;Bachheim;Löffingen-Bachheim;;;;
8000687;Mülheim(Ruhr)Styrum;;;;;
8000688;Neufahrn(Niederbay);;;;;
8000689;Bad Abbach;Abbach Bad;;;;
8000690;Bad Aibling;AIB;Aibling Bad;;;
8000691;Bad Bergzabern;BZA;Bergzabern Bad;;;
8000694;Bad Breisig;Breisig Bad;;;;
8000696;Bad Aibling Kurpark;;;;;
8000697;Bad Driburg(Westf);Driburg(Westf) Bad;;;;
8000698;Bad Dürkheim;DÜW;Dürkheim Bad;;;
8000700;Bad Empfing;Empfing Bad;;;;
8000701;Bad Ems;Ems Bad;;;;
8000702;Bad Ems West;Ems West Bad;;;;
8000704;Bad Friedrichshall-Kochendorf;Kochendorf(Bad Frie);Friedrichshall-K Bad;;;
8000706;Bad Wimpfen Im Tal;;;;;
8000707;Bad Griesbach(Schwarzwald);Griesbach(Schw) Bad;;;;
8000708;Bad Dürkheim-Trift;Dürkheim-Trift Bad;;;;
8000710;Bad Höhenstadt;Höhenstadt Bad;;;;
8000711;Bad Hönningen;Hönningen Bad;;;;
8000712;Bad Homburg;HG;Homburg Bad;;;
8000713;Bad Honnef(Rhein);Honnef(Rhein) Bad;;;;
8000714;Bad Kissingen;KG;Kissingen Bad;;;
8000715;Bad König;König Bad;;;;
8000716;Bad Kohlgrub;Kohlgrub Bad;;;;
8000717;Bad Kohlgrub Kurhaus;Kohlgrub Kurhaus Bad;;;;
8000718;Bad Krozingen;Krozingen Bad;;;;
8000720;Neumarkt-St Veit;;;;;
8000721;Bad Liebenzell;Liebenzell Bad;;;;
8000724;Bad Mergentheim;MGH;Mergentheim Bad;;;
8000725;Bad Münder(Deister);Münder(Deister) Bad;;;;
8000726;Bad Münster a Stein;Münster a Stein Bad;;;;
8000727;Bad Münstereifel;Münstereifel Bad;;;;
8000728;Bad Nauheim;Nauheim Bad;;;;
8000729;Bad Neuenahr;Neuenahr Bad;;;;
8000730;Bad Neustadt(Saale);NES;Neustadt(Saale) Bad;;;
8000731;Bad Niedernau;Rottenburg-B.Niedern;Niedernau Bad;;;
8000732;Bad Oeynhausen;OEYN;Oeynhausen Bad;;;
8000733;Bad Oeynhausen Süd;Oeynhausen Süd Bad;;;;
8000734;Bad Peterstal;Peterstal Bad;;;;
8000735;Bad Pyrmont;Pyrmont Bad;;;;
8000736;Bad Rappenau;Rappenau Bad;;;;
8000737;Bad Reichenhall;Reichenhall Bad;;;;
8000738;Bad Reichenhall-Kirchberg;Reichenhall-Kir. Bad;;;;
8000739;Bad Sachsa;Sachsa Bad;;;;
8000740;Bad Salzdetfurth;Salzdetfurth Bad;;;;
8000741;Bad Salzhausen;Nidda-Bad Salzhausen;Salzhausen Bad;;;
8000742;Boppard-Bad Salzig;Bad Salzig(Boppard);Salzig Bad(Boppard);;;
8000743;Bad Salzschlirf;Salzschlirf Bad;;;;
8000744;Bad Salzuflen;Salzuflen Bad;;;;
8000745;Bad Sassendorf;Sassendorf Bad;;;;
8000746;Bad Schussenried;Schussenried Bad;;;;
8000749;Bad Schwartau;Schwartau Bad;;;;
8000750;Bad Sebastiansweiler-Belsen;Mössingen-B.Sebasti;Sebastiansw.Bels Bad;;;
8000751;Bad Segeberg;SE;Segeberg Bad;;;
8000752;Bad Soden(Taunus);Soden(Taunus) Bad;;;;
8000753;Bad Sooden-Allendorf;Sooden-Allendorf Bad;;;;
8000754;Bad St Peter Süd;Peter Süd Bad St;;;;
8000755;Bad St Peter-Ording;Peter-Ording Bad St;;;;
8000756;Bad Steben;Steben Bad;;;;
8000757;Bad Teinach-Neubulach;Neubulach Teinach Ba;Teinach Bad;;;
8000758;Bad Tölz;TÖL;Tölz Bad;;;
8000759;Bad Salzdetfurth Solebad;;;;;
8000760;Bad Vilbel;Vilbel Bad;;;;
8000761;Bad Vilbel Süd;Vilbel Süd Bad;;;;
8000763;Bad Waldsee;Waldsee Bad;;;;
8000764;Bad Wildungen;Wildungen Bad;;;;
8000765;Bad Wimpfen;Wimpfen Bad;;;;
8000766;Bad Wimpfen-Hohenstadt;Wimpfen-Hohenst. Bad;;;;
8000767;Bad Windsheim;Windsheim Bad;;;;
8000768;Bad Wörishofen;Wörishofen Bad;;;;
8000769;Bad Wurzach;;;;;
8000770;Bad Zwischenahn;Zwischenahn Bad;;;;
8000771;Baden-Baden Haueneberstein;;;;;
