clear_station_name,lat,long
rosendahl-holtwick,52.00569,7.13137
lette(kr coesfeld),51.94179,7.1674
warthausen,48.12683,9.79769
schemmerberg,48.18874,9.82349
laupheim stadt,48.23026,9.88351
regenstauf,49.12391,12.12795
irrenlohe,49.37822,12.1109
nabburg,49.45178,12.18027
pfreimd,49.49493,12.18486
luhe,53.52173,9.60265
luhe-wildenau,49.58153,12.14949
windischeschenbach,49.80315,12.15532
reuth(b erbendorf),49.84276,12.11938
bruchsal sportzentrum,49.1346,8.58595
bruchsal am mantel,49.13903,8.56463
karlsdorf,50.79771,11.79805
graben-neudorf nord,51.42898,6.79074
huttenheim,48.35797,7.57819
rheinsheim,49.23287,8.4094
sindorf,50.90328,6.67711
merten(sieg),32.05827,-96.89746
dattenfeld(sieg),50.80456,7.56443
darmstadt-arheilgen,49.91127,8.65742
darmstadt-wixhausen,49.932,8.64513
schwalbach(taunus)nord,50.15069,8.5353
meinsdorf,51.90797,12.25607
klieken,51.88791,12.37121
coswig(anh),51.88234,12.45693
griebo,51.88142,12.51089
lutherstadt wittenberg-piesteritz,51.86756,12.59768
lutherstadt wittenberg altstadt,51.86823,12.65048
köln west,51.01061,6.95782
köln süd,50.9313,6.86338
remscheid-lüttringhausen,51.20975,7.23796
remscheid-güldenwerth,51.16886,7.16205
solingen-schaberg,51.16288,7.13108
brieselang,52.58216,12.99751
finkenkrug,51.82156,8.8443
holtensen/linderte,52.26572,9.63493
binau,49.36658,9.05772
zwingenberg(baden),49.41289,9.04433
lindach,49.85109,10.64042
neckarhausen bei neckarsteinach,49.41819,8.88441
mannheim hbf,49.48443,8.46274
neustadt-böbig,50.3265,11.12295
neidenfels,49.38675,8.04599
frankenstein(pfalz),49.43856,7.97777
ihringen,48.04575,7.64549
wasenweiler,48.05162,7.68129
hamburg klein flottbek,53.55787,9.85938
hamburg hochkamp,53.56034,9.84232
hamburg-sülldorf,53.57971,9.80089
hamburg jungfernstieg,53.5548,9.99
freital-hainsberg west,50.99168,13.63488
neusörnewitz,51.14478,13.54906
radebeul-zitzschewig,,
dresden hbf,51.05363,13.74081
obervogelgesang,50.94597,13.99904
stadt wehlen(sachs),50.95835,14.03338
